player,age,goat,similarity,distance,data_cutoff,model_version
Christian Braun,23,Larry Bird,35.08002306118354,1.8506252640024967,2023-24,V2
Christian Braun,23,Kareem Abdul-Jabbar,29.07196534879309,2.4397399281487333,2023-24,V2
Christian Braun,23,Magic Johnson,25.139795693912394,2.9777570676206815,2023-24,V2
Christian Braun,23,LeBron James,23.97827805434611,3.1704412540947584,2023-24,V2
Chuma Okeke,25,Larry Bird,19.813939898374354,4.046951818411671,2023-24,V2
Chuma Okeke,25,Michael Jordan,16.801927886460568,4.951697964409347,2023-24,V2
Chuma Okeke,25,Magic Johnson,16.50524027103832,5.058681870597764,2023-24,V2
Chuma Okeke,25,LeBron James,16.026944547217138,5.239492481264225,2023-24,V2
Chuma Okeke,25,Kareem Abdul-Jabbar,14.615280574646476,5.842153969556541,2023-24,V2
Coby White,24,Larry Bird,42.47050745322745,1.3545751156877388,2023-24,V2
Coby White,24,Michael Jordan,40.96781766939348,1.4409403695112784,2023-24,V2
Coby White,24,Magic Johnson,28.15910494273232,2.5512492390426402,2023-24,V2
Coby White,24,LeBron James,25.059048819089224,2.990574451645708,2023-24,V2
Coby White,24,Kareem Abdul-Jabbar,23.042916495623434,3.3397284375436196,2023-24,V2
Cole Anthony,24,Larry Bird,33.44985064216899,1.9895499704842836,2023-24,V2
Cole Anthony,24,Michael Jordan,31.322870350347632,2.192555435740587,2023-24,V2
Cole Anthony,24,Magic Johnson,23.498502775855336,3.255590279681555,2023-24,V2
Cole Anthony,24,LeBron James,21.983313437351317,3.5489047993143936,2023-24,V2
Cole Anthony,24,Kareem Abdul-Jabbar,20.178405408752173,3.9557929863291394,2023-24,V2
Collin Sexton,25,Larry Bird,32.084755958996965,2.1167449154918305,2023-24,V2
Collin Sexton,25,Magic Johnson,27.89182896520981,2.585279406550662,2023-24,V2
Collin Sexton,25,Michael Jordan,26.192999907434857,2.817813933241572,2023-24,V2
Collin Sexton,25,LeBron James,24.136381542489563,3.1431231033516984,2023-24,V2
Collin Sexton,25,Kareem Abdul-Jabbar,22.540391346445652,3.4364802040479563,2023-24,V2
Corey Kispert,25,Larry Bird,28.091378614692978,2.559811049917492,2023-24,V2
Corey Kispert,25,Magic Johnson,26.005040020867256,2.8454084254343344,2023-24,V2
Corey Kispert,25,Michael Jordan,24.339540057577324,3.1085410719940145,2023-24,V2
Corey Kispert,25,LeBron James,22.112185987194,3.522393220548786,2023-24,V2
Corey Kispert,25,Kareem Abdul-Jabbar,21.353231934208495,3.6831318232345476,2023-24,V2
Craig Porter Jr.,24,Larry Bird,29.414238553548262,2.3997140472615404,2023-24,V2
Craig Porter Jr.,24,Michael Jordan,28.427238384499695,2.5177528906404865,2023-24,V2
Craig Porter Jr.,24,Magic Johnson,22.621627347654123,3.4205484629013694,2023-24,V2
Craig Porter Jr.,24,LeBron James,20.89499923997112,3.785834105641165,2023-24,V2
Craig Porter Jr.,24,Kareem Abdul-Jabbar,19.934648155696767,4.016391521885115,2023-24,V2
Dalano Banton,24,Larry Bird,28.932697990518818,2.4562970944766294,2023-24,V2
Dalano Banton,24,Michael Jordan,26.45428562027007,2.780105856397687,2023-24,V2
Dalano Banton,24,Magic Johnson,20.385151229687978,3.9055314269322023,2023-24,V2
Dalano Banton,24,LeBron James,19.89165450816228,4.0272339065092,2023-24,V2
Dalano Banton,24,Kareem Abdul-Jabbar,17.81494101468142,4.613265849019051,2023-24,V2
Dalen Terry,21,Magic Johnson,22.38708262060509,3.4668616136682284,2023-24,V2
Dalen Terry,21,LeBron James,21.61253290961129,3.626944949868837,2023-24,V2
