Name,PLAYER_ID,SEASON_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,PTS,REB,AST,PPG,RPG,APG,PPG_Z,RPG_Z,APG_Z,PRODUCTION_Z,TS_PCT,TS_PLUS,TS_Z
Kareem Abdul-Jabbar,76003,1976-77,LAL,30.0,82,3016.0,2152,1090.0,319,26.24390243902439,13.292682926829269,3.8902439024390243,2.7398964245118704,2.9396739205025257,1.052239207943895,2.2935325083386746,0.6083082698265531,121.62959128003523,2.2225022187576338
Kareem Abdul-Jabbar,76003,1977-78,LAL,31.0,62,2265.0,1600,801.0,269,25.806451612903224,12.919354838709678,4.338709677419355,2.492504541266508,2.6907400922087987,1.163143130139889,2.1531667832112094,0.5886681383370125,116.97097300018041,1.8198423674225588
Kareem Abdul-Jabbar,76003,1978-79,LAL,32.0,80,3157.0,1903,1025.0,431,23.7875,12.8125,5.3875,2.088848921371065,2.8216006719891134,1.6096201548215394,2.164905816591622,0.6116768237805035,118.87085968872601,1.9979760350638198
Kareem Abdul-Jabbar,76003,1979-80,LAL,33.0,82,3143.0,2034,886.0,371,24.804878048780488,10.804878048780488,4.524390243902439,2.2831457849250336,2.2823964456463255,1.1700266653471691,1.9489852472680615,0.638642586219889,123.44473895337953,2.4654694366309755
Kareem Abdul-Jabbar,76003,1980-81,LAL,34.0,80,2976.0,2095,821.0,272,26.1875,10.2625,3.4,2.609261788423387,2.2795677513888624,0.5386540809548284,1.8891712650724621,0.6162199684683625,119.14064183049847,1.781032700347556
Kareem Abdul-Jabbar,76003,1981-82,LAL,35.0,76,2677.0,1818,659.0,225,23.92105263157895,8.671052631578947,2.960526315789474,2.2807539317886,1.7198101233592908,0.3556376582273319,1.5349359071914268,0.6078315992189799,115.85183733650439,1.6306260284685354
Kareem Abdul-Jabbar,76003,1982-83,LAL,36.0,79,2554.0,1722,592.0,200,21.79746835443038,7.493670886075949,2.5316455696202533,1.846368539917137,1.2299787682171333,0.05733125582303689,1.1247404231789058,0.6188723728472442,120.04055848236001,1.9858586863231282
Kareem Abdul-Jabbar,76003,1983-84,LAL,37.0,80,2622.0,1717,587.0,211,21.4625,7.3375,2.6375,1.7836378712105099,1.2740233676236354,0.11465051470682784,1.1300573131833431,0.6082785398480898,115.25885701086031,1.5386502979873384
Kareem Abdul-Jabbar,76003,1984-85,LAL,38.0,79,2630.0,1735,622.0,249,21.962025316455698,7.8734177215189876,3.151898734177215,1.7701528567354305,1.4352514563303669,0.3484373669691076,1.2431677896840145,0.6282589803012747,118.73438962422344,1.7855166480217373
Kareem Abdul-Jabbar,76003,1985-86,LAL,39.0,79,2629.0,1846,478.0,280,23.367088607594937,6.050632911392405,3.5443037974683542,2.138001513469963,0.7445753079046497,0.5387456699861726,1.240196898755232,0.6028109407246793,114.03244624149119,1.4214360169078744
