future_goat_rank,player,age,team,production_z,ts_plus,production_score,efficiency_score,recognition_score,closest_goat,goat_similarity,adjusted_goat_similarity,future_goat_score,data_cutoff,model_version,trajectory_tier
14,Anthony Edwards,22,MIN,1.5763032928802208,101.28891575933345,37.76879189310662,38.372975054308064,5.36,LeBron James,48.187307664879,13.091169063754458,26.1159962857275,2023-24,V2,Developing trajectory
15,Bol Bol,24,PHX,-0.6663853884583006,123.1747333880636,0.0,99.41848175221088,0.0,Michael Jordan,25.30008029144713,8.384318569282357,26.112268223445074,2023-24,V2,Developing trajectory
16,Onyeka Okongwu,23,ATL,0.23487197066258517,118.69265990546936,0.0,94.75947111955865,0.0,Kareem Abdul-Jabbar,36.66915142986863,11.582497986324531,25.427242477838345,2023-24,V2,Developing trajectory
17,Jarrett Allen,26,CLE,1.285275399567477,116.88454712281975,16.293243749862675,72.80449473141327,0.0,Magic Johnson,28.71551922001034,8.528292739395114,25.18300290621452,2023-24,V2,Developing trajectory
18,Trae Young,25,ATL,2.1101994965145834,102.99552286180538,47.717233331003314,23.005653301930096,5.0,Larry Bird,37.889569145137976,9.563691829826581,25.136998765807668,2023-24,V2,Developing trajectory
19,Trayce Jackson-Davis,24,GSW,-0.14844000505496038,121.85298286369431,0.0,95.01264667097989,0.0,Michael Jordan,28.305880465550313,8.964722064614412,25.097869977437135,2023-24,V2,Developing trajectory
20,Scottie Barnes,22,TOR,1.7114761408275205,99.61173499213223,43.175705810998615,32.782372496970666,0.0,LeBron James,45.421364104929246,11.50039843845667,25.03214992386068,2023-24,V2,Developing trajectory
21,Victor Wembanyama,20,SAS,1.7647802257591656,99.42335485419854,47.22583129911383,24.969869323819673,0.0,LeBron James,49.10037626741859,11.816120218253138,24.543926318382727,2023-24,V2,Developing trajectory
22,Jalen Brunson,27,NYK,1.7622221936888873,104.30649142258046,35.93748508510008,34.27017547384338,7.88,Larry Bird,30.354329468339845,7.90099525339352,24.3008129362549,2023-24,V2,Developing trajectory
23,Walker Kessler,22,UTA,0.13242061420521553,116.63743451219246,0.0,89.53470423050476,0.0,Michael Jordan,39.00757891265117,11.641773468974321,24.129942077972338,2023-24,V2,Developing trajectory
24,Chet Holmgren,22,OKC,0.9129989709968505,111.21712269944928,11.236619017771812,71.4669981880275,0.0,Michael Jordan,54.52227873637235,15.030632232669433,24.054161038127425,2023-24,V2,Developing trajectory
25,Jericho Sims,25,NYK,-0.8164247727911574,123.52218671907067,0.0,91.42786615948107,0.0,Magic Johnson,23.970300070155897,7.305177955389377,23.952743233178673,2023-24,V2,Developing trajectory
26,Jalen Smith,24,IND,0.0011638215394274842,120.02408022858408,0.0,88.9163045539458,0.0,Michael Jordan,29.969372675081953,8.88255289356096,23.561459072520595,2023-24,V2,Developing trajectory
27,Tyrese Maxey,23,PHI,1.5212307920936177,100.83121363595862,35.26396943852542,35.221316887856204,0.0,Larry Bird,65.42053983539215,15.370618273080236,23.453311266409983,2023-24,V2,Developing trajectory
28,Donovan Mitchell,27,CLE,1.7157639164588645,104.7892670975967,34.07915399589917,35.87942772389752,5.6,Larry Bird,29.797109450790973,7.504757764837718,23.423274494264746,2023-24,V2,Developing trajectory
29,Alperen Sengun,21,HOU,1.7557035290906056,103.05273396118939,31.671371783527213,40.0532180485132,0.0,Magic Johnson,48.97948959347004,11.710112670914434,22.854801536999993,2023-24,V2,Developing trajectory
30,Moritz Wagner,27,ORL,-0.06290396952884626,119.05377466062035,0.0,83.42778626730966,0.0,Michael Jordan,23.776638937706252,6.612107838166498,21.84876274255239,2023-24,V2,Developing trajectory
31,Jalen Williams,23,OKC,0.8959261659935707,109.39897986726277,10.25178439452354,63.78053765887003,0.0,Larry Bird,51.35471034098933,12.67302818307621,21.434213180262176,2023-24,V2,Developing trajectory
32,Ivica Zubac,27,LAC,0.6225183666699526,118.04987768294896,0.0,80.08146300840502,0.0,Michael Jordan,25.90130852926305,6.914048936184881,21.057473092528987,2023-24,V2,Developing trajectory
33,Obi Toppin,26,IND,-0.09479975912251457,119.10654224261667,0.0,80.21114513073631,0.0,Magic Johnson,24.46014860158377,6.5399217646700425,21.033774547384585,2023-24,V2,Developing trajectory
34,Lauri Markkanen,27,UTA,1.2714124714258663,111.17264301558684,16.305096194579242,57.157347450531304,0.0,Kareem Abdul-Jabbar,27.512536642721457,6.737127242166546,21.00668961706054,2023-24,V2,Developing trajectory
35,Cade Cunningham,22,DET,1.609964310030926,96.05167373060955,39.11523257913483,20.915501625228405,0.0,LeBron James,41.26207267885886,8.256641725685649,20.157703067857142,2023-24,V2,Developing trajectory
36,Isaiah Hartenstein,26,NYK,0.4614100830342296,118.01828441456202,0.0,76.58361903722081,0.0,Magic Johnson,26.34504544898953,6.72532974727894,20.154704221397044,2023-24,V2,Developing trajectory
37,Garrison Mathews,27,ATL,-0.8808431711523046,117.01353860292825,0.0,76.626999408336,0.0,Kareem Abdul-Jabbar,21.378742057475097,5.460629516630376,19.975844279578556,2023-24,V2,Developing trajectory
38,Jalen Johnson,22,ATL,1.1672233052351553,102.8702900666969,21.405592387304004,43.644222745519556,0.0,Michael Jordan,47.81040287500649,10.366859561483293,19.958041956158784,2023-24,V2,Developing trajectory
39,James Wiseman,23,DET,-0.2135765661858224,112.20490175329721,0.0,73.13361061231817,0.0,Larry Bird,34.9519936828802,8.520551653759883,19.561485401143525,2023-24,V2,Developing trajectory
40,Cam Whitmore,19,HOU,-0.11757114974489327,98.71640959476862,0.0,72.2764454064782,0.0,LeBron James,38.745747994306946,9.334683132145628,19.469313821441396,2023-24,V2,Developing trajectory
41,GG Jackson,19,MEM,0.12850406223561253,97.6140152129472,0.0,68.60179746707345,0.0,LeBron James,42.34439286423798,9.683004877128814,18.602900098337685,2023-24,V2,Developing trajectory
42,Aaron Wiggins,25,OKC,-0.5528865686436301,116.86375054917161,0.0,69.2330789264842,0.0,Magic Johnson,25.015557639709293,5.773013588200027,18.17422176985105,2023-24,V2,Developing trajectory
43,Deni Avdija,23,WAS,0.9296413277740863,105.07986910358709,11.600390865744163,49.3835017799511,0.0,Larry Bird,56.67922790553562,11.521733166106932,18.13427222291427,2023-24,V2,Developing trajectory
44,Drew Eubanks,27,PHX,-0.46606331165067216,113.50269145750846,0.0,64.92417559027004,0.0,Kareem Abdul-Jabbar,22.64136935615829,4.8999074656112676,16.9660300174092,2023-24,V2,Developing trajectory
45,Bilal Coulibaly,19,WAS,-0.15395567151886907,95.63807630212814,0.0,62.01533443100994,0.0,LeBron James,38.3237892657933,7.922208693272401,16.692164911743344,2023-24,V2,Developing trajectory
